a,b,c,d,e,f
galvanomagnet,,galvanomagnet,['galvanomagnet'],galvanomagnet,galvanomagnet
galvanomet,,galvanomet,['galvanomet'],galvanomet,galvanomet
galvomagnet,,galvomagnet,['galvomagnet'],galvomagnet,galvomagnet
game,game,,,,game
gamma,gamma,,,,gamma
gamut,gamut,,,,gamut
gan,gan,,,,gan
gang,gang,,,,gang
ganguli,,ganguli,['ganguli'],ganguli,ganguli
gao,gao,,,,gao
gap,gap,,,,gap
garchi,garchi,,,,garchi
gardner,,gardner,['gardner'],gardner,gardner
garnet,garnet,,,,garnet
gase,gase,,,,gase
gaseou,gaseou,,,,gaseou
gass,gass,,,,gass
gate,gate,,,,gate
gatlinburg,,gatlinburg,['gatlinburg'],gatlinburg,gatlinburg
gaug,gaug,,,,gaug
gauss,gauss,,,,gauss
gaussian,,gaussian,"['gaus', 'sian', 'gauss', 'ian']",gaus sian gauss ian,gaus sian gauss ian
gausss,gausss,,,,gausss
gauz,gauz,,,,gauz
gave,gave,,,,gave
gb,gb,,,,gb
gd,gd,,,,gd
ge,ge,,,,ge
gear,gear,,,,gear
gec,gec,,,,gec
geenoa,geenoa,,,,geenoa
gegenschein,,gegenschein,['gegenschein'],gegenschein,gegenschein
geiger,geiger,,,,geiger
gel,gel,,,,gel
gelatin,,gelatin,"['ge', 'latin', 'gelati', 'n']",ge latin gelati n,ge latin gelati n
gelmageet,,gelmageet,['gelmageet'],gelmageet,gelmageet
gemini,gemini,,,,gemini
geminid,,geminid,"['gemini', 'd']",gemini d,gemini d
geneou,geneou,,,,geneou
gener,gener,,,,gener
general,,general,"['genera', 'l']",genera l,genera l
generalis,,generalis,"['genera', 'lis', 'general', 'is']",genera lis general is,genera lis general is
geneva,geneva,,,,geneva
genoa,genoa,,,,genoa
genuin,genuin,,,,genuin
geo,geo,,,,geo
geocentr,,geocentr,['geocentr'],geocentr,geocentr
geocorona,,geocorona,"['geo', 'corona']",geo corona,geo corona
geocyclotron,,geocyclotron,"['geo', 'cyclotron']",geo cyclotron,geo cyclotron
geodesi,,geodesi,"['geode', 'si', 'geodes', 'i']",geode si geodes i,geode si geodes i
geodesiqu,,geodesiqu,['geodesiqu'],geodesiqu,geodesiqu
geodet,geodet,,,,geodet
geoelectr,,geoelectr,['geoelectr'],geoelectr,geoelectr
geograph,,geograph,"['geo', 'graph']",geo graph,geo graph
geolog,geolog,,,,geolog
geomag,geomag,,,,geomag
geomagnet,,geomagnet,"['geo', 'magnet']",geo magnet,geo magnet
geomagnon,,geomagnon,"['geo', 'magnon']",geo magnon,geo magnon
geometr,,geometr,['geometr'],geometr,geometr
geometri,,geometri,['geometri'],geometri,geometri
geomorpholog,,geomorpholog,['geomorpholog'],geomorpholog,geomorpholog
geophys,,geophys,['geophys'],geophys,geophys
geophysicist,,geophysicist,"['geo', 'physicist']",geo physicist,geo physicist
geophysik,,geophysik,['geophysik'],geophysik,geophysik
geophysiqu,,geophysiqu,['geophysiqu'],geophysiqu,geophysiqu
georg,georg,,,,georg
geostationari,,geostationari,['geostationari'],geostationari,geostationari
ger,ger,,,,ger
gerdian,,gerdian,['gerdian'],gerdian,gerdian
gerdien,,gerdien,['gerdien'],gerdien,gerdien
gerlach,,gerlach,['gerlach'],gerlach,gerlach
germagnet,,germagnet,['germagnet'],germagnet,germagnet
german,german,,,,german
germani,,germani,"['germ', 'ani', 'german', 'i']",germ ani german i,germ ani german i
germanium,,germanium,['germanium'],germanium,germanium
germinid,,germinid,"['germin', 'id']",germin id,germin id
gerson,gerson,,,,gerson
gerst,gerst,,,,gerst
gesellschaft,,gesellschaft,['gesellschaft'],gesellschaft,gesellschaft
gewartowski,,gewartowski,['gewartowski'],gewartowski,gewartowski
gewertz,,gewertz,['gewertz'],gewertz,gewertz
gh,gh,,,,gh
ghana,ghana,,,,ghana
ghve,ghve,,,,ghve
ghven,ghven,,,,ghven
gi,gi,,,,gi
giacobinid,,giacobinid,['giacobinid'],giacobinid,giacobinid
giacoletto,,giacoletto,['giacoletto'],giacoletto,giacoletto
gian,gian,,,,gian
giant,giant,,,,giant
gibb,gibb,,,,gibb
gibbon,gibbon,,,,gibbon
gice,gice,,,,gice
gilbert,,gilbert,"['gil', 'bert']",gil bert,gil bert
gill,gill,,,,gill
gimbal,gimbal,,,,gimbal
gingl,gingl,,,,gingl
ginzburg,,ginzburg,['ginzburg'],ginzburg,ginzburg
giorgi,giorgi,,,,giorgi
giovanelli,,giovanelli,['giovanelli'],giovanelli,giovanelli
gipp,gipp,,,,gipp
giten,giten,,,,giten
give,give,,,,give
given,given,,,,given
glacial,,glacial,['glacial'],glacial,glacial
glanc,glanc,,,,glanc
glasgow,,glasgow,['glasgow'],glasgow,glasgow
glass,glass,,,,glass
gleissberg,,gleissberg,['gleissberg'],gleissberg,gleissberg
gliddon,,gliddon,['gliddon'],gliddon,gliddon
glide,glide,,,,glide
global,global,,,,global
globe,globe,,,,globe
globular,,globular,"['g', 'lobular']",g lobular,g lobular
glossari,,glossari,"['glossa', 'ri']",glossa ri,glossa ri
glow,glow,,,,glow
glowatzki,,glowatzki,['glowatzki'],glowatzki,glowatzki
gluid,gluid,,,,gluid
glycerin,,glycerin,['glycerin'],glycerin,glycerin
glycol,glycol,,,,glycol
gm,gm,,,,gm
gmt,gmt,,,,gmt
gnanalingam,,gnanalingam,['gnanalingam'],gnanalingam,gnanalingam
gnetic,gnetic,,,,gnetic
gning,gning,,,,gning
go,go,,,,go
godhavn,,godhavn,['godhavn'],godhavn,godhavn
godlei,godlei,,,,godlei
goe,goe,,,,goe
goeth,goeth,,,,goeth
gold,gold,,,,gold
goldberg,,goldberg,"['gold', 'berg']",gold berg,gold berg
golden,golden,,,,golden
goldstein,,goldstein,"['gold', 'stein']",gold stein,gold stein
gordeyev,,gordeyev,['gordeyev'],gordeyev,gordeyev
gordon,gordon,,,,gordon
gorelik,,gorelik,['gorelik'],gorelik,gorelik
gorni,gorni,,,,gorni
gorter,gorter,,,,gorter
gossard,,gossard,"['goss', 'ard']",goss ard,goss ard
gottingen,,gottingen,['gottingen'],gottingen,gottingen
gould,gould,,,,gould
govenr,govenr,,,,govenr
govern,govern,,,,govern
gpa,gpa,,,,gpa
graaff,graaff,,,,graaff
grad,grad,,,,grad
grade,grade,,,,grade
gradient,,gradient,['gradient'],gradient,gradient
gradual,,gradual,['gradual'],gradual,gradual
graduat,,graduat,['graduat'],graduat,graduat
graffund,,graffund,"['graf', 'fund']",graf fund,graf fund
grahamstown,,grahamstown,"['graham', 'stown']",graham stown,graham stown
grai,grai,,,,grai
grain,grain,,,,grain
gram,gram,,,,gram
gramophon,,gramophon,['gramophon'],gramophon,gramophon
grand,grand,,,,grand
granit,granit,,,,granit
granular,,granular,['granular'],granular,granular
graph,graph,,,,graph
graphic,,graphic,['graphic'],graphic,graphic
graphit,,graphit,"['graph', 'it']",graph it,graph it
grapho,grapho,,,,grapho
grasp,grasp,,,,grasp
grate,grate,,,,grate
graupel,,graupel,['graupel'],graupel,graupel
gravit,gravit,,,,gravit
graviti,,graviti,['graviti'],graviti,graviti
graybeal,,graybeal,['graybeal'],graybeal,graybeal
graz,graz,,,,graz
graze,graze,,,,graze
greas,greas,,,,greas
great,great,,,,great
greater,,greater,"['great', 'er']",great er,great er
greatest,,greatest,"['great', 'est']",great est,great est
greatli,,greatli,"['great', 'li']",great li,great li
grebenkemp,,grebenkemp,['grebenkemp'],grebenkemp,grebenkemp
green,green,,,,green
greenhow,,greenhow,"['green', 'how']",green how,green how
greenla,,greenla,"['green', 'la']",green la,green la
greenland,,greenland,"['green', 'land']",green land,green land
greenwich,,greenwich,"['green', 'wich']",green wich,green wich
greenwood,,greenwood,"['green', 'wood']",green wood,green wood
gregori,,gregori,"['grego', 'ri', 'gregor', 'i']",grego ri gregor i,grego ri gregor i
grei,grei,,,,grei
grenad,grenad,,,,grenad
grenet,grenet,,,,grenet
greter,greter,,,,greter
grid,grid,,,,grid
grieg,grieg,,,,grieg
griffith,,griffith,['griffith'],griffith,griffith
grill,grill,,,,grill
grinberg,,grinberg,"['grin', 'berg']",grin berg,grin berg
grisdal,,grisdal,"['gris', 'dal']",gris dal,gris dal
groov,groov,,,,groov
groschwitz,,groschwitz,['groschwitz'],groschwitz,groschwitz
gross,gross,,,,gross
grossman,,grossman,"['gross', 'man']",gross man,gross man
grou,grou,,,,grou
ground,ground,,,,ground
group,group,,,,group
grove,grove,,,,grove
grow,grow,,,,grow
grown,grown,,,,grown
growth,growth,,,,growth
gt,gt,,,,gt
gtaph,gtaph,,,,gtaph
guarante,,guarante,"['guar', 'ante']",guar ante,guar ante
guertler,,guertler,['guertler'],guertler,guertler
guid,guid,,,,guid
guidanc,,guidanc,['guidanc'],guidanc,guidanc
guillemin,,guillemin,['guillemin'],guillemin,guillemin
guillon,,guillon,['guillon'],guillon,guillon
gumowski,,gumowski,['gumowski'],gumowski,gumowski
gun,gun,,,,gun
gurat,gurat,,,,gurat
gurnei,gurnei,,,,gurnei
gustsond,,gustsond,['gustsond'],gustsond,gustsond
guth,guth,,,,guth
gutta,gutta,,,,gutta
gydetermin,,gydetermin,['gydetermin'],gydetermin,gydetermin
gygnu,gygnu,,,,gygnu
gyprsum,,gyprsum,['gyprsum'],gyprsum,gyprsum
gypsum,gypsum,,,,gypsum
gyrat,gyrat,,,,gyrat
gyro,gyro,,,,gyro
gyroelectr,,gyroelectr,['gyroelectr'],gyroelectr,gyroelectr
gyrofrequ,,gyrofrequ,['gyrofrequ'],gyrofrequ,gyrofrequ
gyromagnet,,gyromagnet,"['gyro', 'magnet']",gyro magnet,gyro magnet
gyroscop,,gyroscop,"['gyro', 'scop', 'gyros', 'cop']",gyro scop gyros cop,gyro scop gyros cop
gyrotrop,,gyrotrop,"['gyro', 'trop']",gyro trop,gyro trop
ha,ha,,,,ha
haa,haa,,,,haa
haalf,haalf,,,,haalf
haasvan,,haasvan,"['haas', 'van']",haas van,haas van
habe,habe,,,,habe
hae,hae,,,,hae
haematit,,haematit,['haematit'],haematit,haematit
hagabi,hagabi,,,,hagabi
hagelbarg,,hagelbarg,['hagelbarg'],hagelbarg,hagelbarg
hagen,hagen,,,,hagen
hagg,hagg,,,,hagg
hahn,hahn,,,,hahn
haifa,haifa,,,,haifa
hail,hail,,,,hail
hailston,,hailston,"['hails', 'ton']",hails ton,hails ton
hair,hair,,,,hair
hakura,hakura,,,,hakura
half,half,,,,half
halfwav,,halfwav,['halfwav'],halfwav,halfwav
halid,halid,,,,halid
hall,hall,,,,hall
hallei,hallei,,,,hallei
hallett,,hallett,"['hal', 'lett']",hal lett,hal lett
halo,halo,,,,halo
halogen,,halogen,"['hal', 'ogen', 'halo', 'gen']",hal ogen halo gen,hal ogen halo gen
halt,halt,,,,halt
halv,halv,,,,halv
halvex,halvex,,,,halvex
hamilton,,hamilton,"['ha', 'milton']",ha milton,ha milton
hamiltonian,,hamiltonian,"['ha', 'miltonian', 'hamilton', 'ian']",ha miltonian hamilton ian,ha miltonian hamilton ian
hammond,,hammond,['hammond'],hammond,hammond
hampshir,,hampshir,['hampshir'],hampshir,hampshir
hampton,,hampton,['hampton'],hampton,hampton
hanburi,,hanburi,['hanburi'],hanburi,hanburi
hand,hand,,,,hand
handbook,,handbook,"['hand', 'book']",hand book,hand book
handbuch,,handbuch,['handbuch'],handbuch,handbuch
handl,handl,,,,handl
handler,,handler,"['handle', 'r']",handle r,handle r
handlett,,handlett,"['hand', 'lett']",hand lett,hand lett
hanicap,,hanicap,['hanicap'],hanicap,hanicap
hanov,hanov,,,,hanov
hansen,hansen,,,,hansen
hanssen,,hanssen,"['hans', 'sen']",hans sen,hans sen
hant,hant,,,,hant
harald,harald,,,,harald
harang,harang,,,,harang
hard,hard,,,,hard
harden,harden,,,,harden
hardi,hardi,,,,hardi
harestua,,harestua,['harestua'],harestua,harestua
haringhata,,haringhata,['haringhata'],haringhata,haringhata
harm,harm,,,,harm
harmodotron,,harmodotron,['harmodotron'],harmodotron,harmodotron
harmon,harmon,,,,harmon
harnischmach,,harnischmach,['harnischmach'],harnischmach,harnischmach
harri,harri,,,,harri
harrington,,harrington,['harrington'],harrington,harrington
hartlei,,hartlei,"['hart', 'lei']",hart lei,hart lei
hartre,hartre,,,,hartre
harvard,,harvard,['harvard'],harvard,harvard
harwel,harwel,,,,harwel
harz,harz,,,,harz
hatch,hatch,,,,hatch
hausen,hausen,,,,hausen
hav,hav,,,,hav
hawaii,hawaii,,,,hawaii
hawkin,hawkin,,,,hawkin
hayashi,,hayashi,['hayashi'],hayashi,hayashi
hazard,hazard,,,,hazard
haze,haze,,,,haze
hcn,hcn,,,,hcn
hcr,hcr,,,,hcr
hd,hd,,,,hd
hdco,hdco,,,,hdco
head,head,,,,head
headphon,,headphon,"['head', 'phon']",head phon,head phon
heal,heal,,,,heal
heard,heard,,,,heard
heart,heart,,,,heart
heat,heat,,,,heat
heater,heater,,,,heater
heaterless,,heaterless,"['heater', 'less']",heater less,heater less
heavi,heavi,,,,heavi
heavier,,heavier,['heavier'],heavier,heavier
heavili,,heavili,['heavili'],heavili,heavili
heavisid,,heavisid,['heavisid'],heavisid,heavisid
hedderlei,,hedderlei,['hedderlei'],hedderlei,hedderlei
heffner,,heffner,['heffner'],heffner,heffner
heidelberg,,heidelberg,['heidelberg'],heidelberg,heidelberg
height,height,,,,height
heisenberg,,heisenberg,['heisenberg'],heisenberg,heisenberg
hekimian,,hekimian,['hekimian'],hekimian,hekimian
hel,hel,,,,hel
held,held,,,,held
hele,hele,,,,hele
helic,helic,,,,helic
heliocentr,,heliocentr,['heliocentr'],heliocentr,heliocentr
heliograph,,heliograph,['heliograph'],heliograph,heliograph
helitran,,helitran,['helitran'],helitran,helitran
helium,helium,,,,helium
helix,helix,,,,helix
helliwel,,helliwel,['helliwel'],helliwel,helliwel
helmholtz,,helmholtz,['helmholtz'],helmholtz,helmholtz
help,help,,,,help
hemispher,,hemispher,['hemispher'],hemispher,hemispher
hen,hen,,,,hen
hendri,hendri,,,,hendri
heptan,heptan,,,,heptan
heptod,heptod,,,,heptod
hercul,hercul,,,,hercul
here,here,,,,here
hereditari,,hereditari,['hereditari'],hereditari,hereditari
herlofsen,,herlofsen,['herlofsen'],herlofsen,herlofsen
herlofson,,herlofson,['herlofson'],herlofson,herlofson
hermet,hermet,,,,hermet
hermispher,,hermispher,['hermispher'],hermispher,hermispher
hermit,hermit,,,,hermit
hern,hern,,,,hern
herpin,herpin,,,,herpin
herringbon,,herringbon,"['herring', 'bon']",herring bon,herring bon
hershberg,,hershberg,['hershberg'],hershberg,hershberg
hertre,hertre,,,,hertre
hertz,hertz,,,,hertz
hertzian,,hertzian,"['hertz', 'ian']",hertz ian,hertz ian
herv,herv,,,,herv
herwelli,,herwelli,['herwelli'],herwelli,herwelli
herzberg,,herzberg,['herzberg'],herzberg,herzberg
herzog,herzog,,,,herzog
hese,hese,,,,hese
hessel,hessel,,,,hessel
heterodyn,,heterodyn,['heterodyn'],heterodyn,heterodyn
heterogen,,heterogen,"['hetero', 'gen']",hetero gen,hetero gen
hewish,hewish,,,,hewish
hexagon,,hexagon,"['hex', 'agon']",hex agon,hex agon
hexan,hexan,,,,hexan
hexod,hexod,,,,hexod
hf,hf,,,,hf
hg,hg,,,,hg
hgo,hgo,,,,hgo
hgse,hgse,,,,hgse
hhhfn,hhhfn,,,,hhhfn
hhole,hhole,,,,hhole
hi,hi,,,,hi
hibbard,,hibbard,['hibbard'],hibbard,hibbard
high,high,,,,high
highaltitud,,highaltitud,['highaltitud'],highaltitud,highaltitud
higher,higher,,,,higher
highest,,highest,"['high', 'est']",high est,high est
highfrequ,,highfrequ,['highfrequ'],highfrequ,highfrequ
highli,highli,,,,highli
highresist,,highresist,"['high', 'resist']",high resist,high resist
highspe,,highspe,"['highs', 'pe']",highs pe,highs pe
higi,higi,,,,higi
higigh,higigh,,,,higigh
hilbert,,hilbert,['hilbert'],hilbert,hilbert
hill,hill,,,,hill
hillhead,,hillhead,"['hill', 'head']",hill head,hill head
hinder,hinder,,,,hinder
hine,hine,,,,hine
hipernik,,hipernik,['hipernik'],hipernik,hipernik
hiraiso,,hiraiso,['hiraiso'],hiraiso,hiraiso
hiss,hiss,,,,hiss
histogram,,histogram,['histogram'],histogram,histogram
histor,histor,,,,histor
histori,,histori,"['his', 'tori']",his tori,his tori
hit,hit,,,,hit
hitherto,,hitherto,"['hither', 'to']",hither to,hither to
hm,hm,,,,hm
ho,ho,,,,ho
hobart,hobart,,,,hobart
hochschul,,hochschul,['hochschul'],hochschul,hochschul
hodac,hodac,,,,hodac
hoffmann,,hoffmann,"['hoff', 'mann', 'hoffman', 'n']",hoff mann hoffman n,hoff mann hoffman n
hoffmeist,,hoffmeist,['hoffmeist'],hoffmeist,hoffmeist
hogan,hogan,,,,hogan
hogbom,hogbom,,,,hogbom
hoher,hoher,,,,hoher
hokkaido,,hokkaido,['hokkaido'],hokkaido,hokkaido
hold,hold,,,,hold
holder,holder,,,,holder
hole,hole,,,,hole
holland,,holland,['holland'],holland,holland
hollandia,,hollandia,['hollandia'],hollandia,hollandia
hollow,hollow,,,,hollow
holmdel,,holmdel,"['holm', 'del']",holm del,holm del
hologram,,hologram,['hologram'],hologram,hologram
holstein,,holstein,"['holst', 'ein']",holst ein,holst ein
holt,holt,,,,holt
holtsmark,,holtsmark,"['holts', 'mark']",holts mark,holts mark
holweck,,holweck,['holweck'],holweck,holweck
home,home,,,,home
homogen,,homogen,"['ho', 'mogen', 'homo', 'gen']",ho mogen homo gen,ho mogen homo gen
homolog,,homolog,"['homo', 'log']",homo log,homo log
homopolar,,homopolar,"['homo', 'polar']",homo polar,homo polar
honeycomb,,honeycomb,"['honey', 'comb']",honey comb,honey comb
honl,honl,,,,honl
honolulu,,honolulu,['honolulu'],honolulu,honolulu
hook,hook,,,,hook
hop,hop,,,,hop
hope,hope,,,,hope
hopf,hopf,,,,hopf
horizon,,horizon,['horizon'],horizon,horizon
horizont,,horizont,"['horizon', 't']",horizon t,horizon t
horn,horn,,,,horn
hornsbi,,hornsbi,"['horns', 'bi']",horns bi,horns bi
hosler,hosler,,,,hosler
hot,hot,,,,hot
hotter,hotter,,,,hotter
hour,hour,,,,hour
hourli,hourli,,,,hourli
hous,hous,,,,hous
houston,,houston,['houston'],houston,houston
how,how,,,,how
howard,howard,,,,howard
howarth,,howarth,['howarth'],howarth,howarth
hoyl,hoyl,,,,hoyl
hr,hr,,,,hr
hree,hree,,,,hree
ht,ht,,,,ht
hu,hu,,,,hu
huancayo,,huancayo,['huancayo'],huancayo,huancayo
huckel,huckel,,,,huckel
huffman,,huffman,"['huff', 'man']",huff man,huff man
hugh,hugh,,,,hugh
hulbert,,hulbert,['hulbert'],hulbert,hulbert
hum,hum,,,,hum
human,human,,,,human
humid,humid,,,,humid
hump,hump,,,,hump
hundr,hundr,,,,hundr
hundredth,,hundredth,['hundredth'],hundredth,hundredth
hungari,,hungari,['hungari'],hungari,hungari
hungarian,,hungarian,"['hung', 'arian']",hung arian,hung arian
hunt,hunt,,,,hunt
hurrican,,hurrican,"['hur', 'rican']",hur rican,hur rican
hurwitz,,hurwitz,['hurwitz'],hurwitz,hurwitz
hutson,hutson,,,,hutson
huxlei,huxlei,,,,huxlei
huyghen,,huyghen,['huyghen'],huyghen,huyghen
hv,hv,,,,hv
hve,hve,,,,hve
hx,hx,,,,hx
hybr,hybr,,,,hybr
hybrid,hybrid,,,,hybrid
hyderabad,,hyderabad,['hyderabad'],hyderabad,hyderabad
hydra,hydra,,,,hydra
hydrat,hydrat,,,,hydrat
hydraul,,hydraul,['hydraul'],hydraul,hydraul
hydrazyl,,hydrazyl,['hydrazyl'],hydrazyl,hydrazyl
hydro,hydro,,,,hydro
hydrocarbon,,hydrocarbon,"['hydro', 'carbon']",hydro carbon,hydro carbon
hydrodynam,,hydrodynam,['hydrodynam'],hydrodynam,hydrodynam
hydrogen,,hydrogen,"['hydro', 'gen']",hydro gen,hydro gen
hydromagnet,,hydromagnet,"['hydro', 'magnet']",hydro magnet,hydro magnet
hydrostat,,hydrostat,"['hydros', 'tat']",hydros tat,hydros tat
hydroxyl,,hydroxyl,"['hydroxy', 'l']",hydroxy l,hydroxy l
hygroscop,,hygroscop,['hygroscop'],hygroscop,hygroscop
hyper,hyper,,,,hyper
hyperbol,,hyperbol,['hyperbol'],hyperbol,hyperbol
hyperbola,,hyperbola,"['hyper', 'bola']",hyper bola,hyper bola
hyperboloid,,hyperboloid,['hyperboloid'],hyperboloid,hyperboloid
hypercon,,hypercon,"['hyper', 'con']",hyper con,hyper con
hyperfin,,hyperfin,"['hyper', 'fin']",hyper fin,hyper fin
hyperfunct,,hyperfunct,['hyperfunct'],hyperfunct,hyperfunct
hypergeometr,,hypergeometr,['hypergeometr'],hypergeometr,hypergeometr
hyperson,,hyperson,"['hyper', 'son', 'hypers', 'on']",hyper son hypers on,hyper son hypers on
hypothes,,hypothes,"['hypo', 'thes']",hypo thes,hypo thes
hypothesi,,hypothesi,['hypothesi'],hypothesi,hypothesi
hypothet,,hypothet,['hypothet'],hypothet,hypothet
hysteresi,,hysteresi,['hysteresi'],hysteresi,hysteresi
hysteret,,hysteret,['hysteret'],hysteret,hysteret
i,i,,,,i
ia,ia,,,,ia
ib,ib,,,,ib
ibadan,ibadan,,,,ibadan
ibm,ibm,,,,ibm
ic,ic,,,,ic
iceland,,iceland,"['ice', 'land']",ice land,ice land
icompar,,icompar,['icompar'],icompar,icompar
id,id,,,,id
idea,idea,,,,idea
ideal,ideal,,,,ideal
idel,idel,,,,idel
ident,ident,,,,ident
identif,,identif,['identif'],identif,identif
identifi,,identifi,['identifi'],identifi,identifi
idl,idl,,,,idl
idler,idler,,,,idler
iec,iec,,,,iec
iee,iee,,,,iee
ien,ien,,,,ien
iether,iether,,,,iether
ifield,ifield,,,,ifield
igc,igc,,,,igc
igi,igi,,,,igi
ign,ign,,,,ign
ignit,ignit,,,,ignit
ignitor,,ignitor,['ignitor'],ignitor,ignitor
ignitron,,ignitron,['ignitron'],ignitron,ignitron
ignor,ignor,,,,ignor
igo,igo,,,,igo
ihi,ihi,,,,ihi
iht,iht,,,,iht
ii,ii,,,,ii
iin,iin,,,,iin
illeg,illeg,,,,illeg
illiac,illiac,,,,illiac
illinoi,,illinoi,['illinoi'],illinoi,illinoi
illumin,,illumin,['illumin'],illumin,illumin
illustr,,illustr,['illustr'],illustr,illustr
ilm,ilm,,,,ilm
im,im,,,,im
imag,imag,,,,imag
imaginari,,imaginari,['imaginari'],imaginari,imaginari
imal,imal,,,,imal
imbed,imbed,,,,imbed
iment,iment,,,,iment
immers,immers,,,,immers
immin,immin,,,,immin
immitt,immitt,,,,immitt
immobil,,immobil,['immobil'],immobil,immobil
impact,impact,,,,impact
impair,impair,,,,impair
impart,impart,,,,impart
impd,impd,,,,impd
imped,imped,,,,imped
impedor,,impedor,"['imped', 'or']",imped or,imped or
impend,impend,,,,impend
imperfect,,imperfect,['imperfect'],imperfect,imperfect
imperfectli,,imperfectli,"['imperfect', 'li']",imperfect li,imperfect li
imperi,imperi,,,,imperi
imping,imping,,,,imping
impli,impli,,,,impli
